YEAR,GEO,performance_of_system,Incidents&Casualties,VALUE,Status of casualty,Type of structure
2005,canada,total residential fires,"fire incidents, residential properties",13619.0,SIN,SIN
2005,canada,total residential fires,"fire-related deaths, residential properties",144.0,SIN,SIN
2005,canada,total residential fires,"fire-related injuries, residential properties",998.0,SIN,SIN
2005,canada,no smoke alarm,"fire incidents, residential properties",1183.0,SIN,SIN
2005,canada,no smoke alarm,"fire-related deaths, residential properties",22.0,SIN,SIN
2005,canada,no smoke alarm,"fire-related injuries, residential properties",74.0,SIN,SIN
2005,canada,alarm activated,"fire incidents, residential properties",3542.0,SIN,SIN
2005,canada,alarm activated,"fire-related deaths, residential properties",33.0,SIN,SIN
2005,canada,alarm activated,"fire-related injuries, residential properties",417.0,SIN,SIN
2005,canada,alarm did not activate,"fire incidents, residential properties",1537.0,SIN,SIN
2005,canada,alarm did not activate,"fire-related deaths, residential properties",26.0,SIN,SIN
2005,canada,alarm did not activate,"fire-related injuries, residential properties",158.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",7357.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",63.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",349.0,SIN,SIN
2005,ontario,total residential fires,"fire incidents, residential properties",8575.0,SIN,SIN
2005,ontario,total residential fires,"fire-related deaths, residential properties",74.0,SIN,SIN
2005,ontario,total residential fires,"fire-related injuries, residential properties",664.0,SIN,SIN
2005,ontario,no smoke alarm,"fire incidents, residential properties",6.0,SIN,SIN
2005,ontario,no smoke alarm,"fire-related deaths, residential properties",12.0,SIN,SIN
2005,ontario,no smoke alarm,"fire-related injuries, residential properties",5.0,SIN,SIN
2005,ontario,alarm activated,"fire incidents, residential properties",2267.0,SIN,SIN
2005,ontario,alarm activated,"fire-related deaths, residential properties",22.0,SIN,SIN
2005,ontario,alarm activated,"fire-related injuries, residential properties",279.0,SIN,SIN
2005,ontario,alarm did not activate,"fire incidents, residential properties",992.0,SIN,SIN
2005,ontario,alarm did not activate,"fire-related deaths, residential properties",16.0,SIN,SIN
2005,ontario,alarm did not activate,"fire-related injuries, residential properties",130.0,SIN,SIN
2005,ontario,unknown performance of smoke alarm device,"fire incidents, residential properties",5310.0,SIN,SIN
2005,ontario,unknown performance of smoke alarm device,"fire-related deaths, residential properties",24.0,SIN,SIN
2005,ontario,unknown performance of smoke alarm device,"fire-related injuries, residential properties",250.0,SIN,SIN
2005,manitoba,total residential fires,"fire incidents, residential properties",1263.0,SIN,SIN
2005,manitoba,total residential fires,"fire-related deaths, residential properties",14.0,SIN,SIN
2005,manitoba,total residential fires,"fire-related injuries, residential properties",11.0,SIN,SIN
2005,manitoba,no smoke alarm,"fire incidents, residential properties",129.0,SIN,SIN
2005,manitoba,no smoke alarm,"fire-related deaths, residential properties",1.0,SIN,SIN
2005,manitoba,no smoke alarm,"fire-related injuries, residential properties",1.0,SIN,SIN
2005,manitoba,alarm activated,"fire incidents, residential properties",446.0,SIN,SIN
2005,manitoba,alarm activated,"fire-related deaths, residential properties",3.0,SIN,SIN
2005,manitoba,alarm activated,"fire-related injuries, residential properties",8.0,SIN,SIN
2005,manitoba,alarm did not activate,"fire incidents, residential properties",267.0,SIN,SIN
2005,manitoba,alarm did not activate,"fire-related deaths, residential properties",5.0,SIN,SIN
2005,manitoba,alarm did not activate,"fire-related injuries, residential properties",1.0,SIN,SIN
2005,manitoba,unknown performance of smoke alarm device,"fire incidents, residential properties",421.0,SIN,SIN
2005,manitoba,unknown performance of smoke alarm device,"fire-related deaths, residential properties",5.0,SIN,SIN
2005,manitoba,unknown performance of smoke alarm device,"fire-related injuries, residential properties",1.0,SIN,SIN
2005,saskatchewan,total residential fires,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,saskatchewan,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,saskatchewan,no smoke alarm,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,saskatchewan,no smoke alarm,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,saskatchewan,alarm activated,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,alarm activated,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,saskatchewan,alarm activated,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,saskatchewan,alarm did not activate,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,alarm did not activate,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,saskatchewan,alarm did not activate,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,saskatchewan,unknown performance of smoke alarm device,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,unknown performance of smoke alarm device,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,saskatchewan,unknown performance of smoke alarm device,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,alberta,total residential fires,"fire incidents, residential properties",1617.0,SIN,SIN
2005,alberta,total residential fires,"fire-related deaths, residential properties",27.0,SIN,SIN
2005,alberta,total residential fires,"fire-related injuries, residential properties",154.0,SIN,SIN
2005,alberta,no smoke alarm,"fire incidents, residential properties",733.0,SIN,SIN
2005,alberta,no smoke alarm,"fire-related deaths, residential properties",8.0,SIN,SIN
2005,alberta,no smoke alarm,"fire-related injuries, residential properties",34.0,SIN,SIN
2005,alberta,alarm activated,"fire incidents, residential properties",343.0,SIN,SIN
2005,alberta,alarm activated,"fire-related deaths, residential properties",6.0,SIN,SIN
2005,alberta,alarm activated,"fire-related injuries, residential properties",66.0,SIN,SIN
2005,alberta,alarm did not activate,"fire incidents, residential properties",278.0,SIN,SIN
2005,alberta,alarm did not activate,"fire-related deaths, residential properties",5.0,SIN,SIN
2005,alberta,alarm did not activate,"fire-related injuries, residential properties",27.0,SIN,SIN
2005,alberta,unknown performance of smoke alarm device,"fire incidents, residential properties",263.0,SIN,SIN
2005,alberta,unknown performance of smoke alarm device,"fire-related deaths, residential properties",8.0,SIN,SIN
2005,alberta,unknown performance of smoke alarm device,"fire-related injuries, residential properties",27.0,SIN,SIN
2005,british columbia,total residential fires,"fire incidents, residential properties",2132.0,SIN,SIN
2005,british columbia,total residential fires,"fire-related deaths, residential properties",29.0,SIN,SIN
2005,british columbia,total residential fires,"fire-related injuries, residential properties",169.0,SIN,SIN
2005,british columbia,no smoke alarm,"fire incidents, residential properties",315.0,SIN,SIN
2005,british columbia,no smoke alarm,"fire-related deaths, residential properties",1.0,SIN,SIN
2005,british columbia,no smoke alarm,"fire-related injuries, residential properties",34.0,SIN,SIN
2005,british columbia,alarm activated,"fire incidents, residential properties",486.0,SIN,SIN
2005,british columbia,alarm activated,"fire-related deaths, residential properties",2.0,SIN,SIN
2005,british columbia,alarm activated,"fire-related injuries, residential properties",64.0,SIN,SIN
2005,british columbia,alarm did not activate,"fire incidents, residential properties",0.0,SIN,SIN
2005,british columbia,alarm did not activate,"fire-related deaths, residential properties",0.0,SIN,SIN
2005,british columbia,alarm did not activate,"fire-related injuries, residential properties",0.0,SIN,SIN
2005,british columbia,unknown performance of smoke alarm device,"fire incidents, residential properties",1331.0,SIN,SIN
2005,british columbia,unknown performance of smoke alarm device,"fire-related deaths, residential properties",26.0,SIN,SIN
2005,british columbia,unknown performance of smoke alarm device,"fire-related injuries, residential properties",71.0,SIN,SIN
2005,canada,total residential fires,"fire incidents, residential properties",32.0,SIN,SIN
2005,canada,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,canada,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,canada,no smoke alarm,"fire incidents, residential properties",0.0,SIN,SIN
2005,canada,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,canada,no smoke alarm,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,canada,alarm activated,"fire incidents, residential properties",0.0,SIN,SIN
2005,canada,alarm activated,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,canada,alarm activated,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,canada,alarm did not activate,"fire incidents, residential properties",0.0,SIN,SIN
2005,canada,alarm did not activate,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,canada,alarm did not activate,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",32.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,canada,total residential fires,"fire incidents, residential properties",13255.0,SIN,SIN
2006,canada,total residential fires,"fire-related deaths, residential properties",134.0,SIN,SIN
2006,canada,total residential fires,"fire-related injuries, residential properties",862.0,SIN,SIN
2006,canada,no smoke alarm,"fire incidents, residential properties",1163.0,SIN,SIN
2006,canada,no smoke alarm,"fire-related deaths, residential properties",31.0,SIN,SIN
2006,canada,no smoke alarm,"fire-related injuries, residential properties",79.0,SIN,SIN
2006,canada,alarm activated,"fire incidents, residential properties",3677.0,SIN,SIN
2006,canada,alarm activated,"fire-related deaths, residential properties",28.0,SIN,SIN
2006,canada,alarm activated,"fire-related injuries, residential properties",376.0,SIN,SIN
2006,canada,alarm did not activate,"fire incidents, residential properties",1441.0,SIN,SIN
2006,canada,alarm did not activate,"fire-related deaths, residential properties",16.0,SIN,SIN
2006,canada,alarm did not activate,"fire-related injuries, residential properties",131.0,SIN,SIN
2006,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",6974.0,SIN,SIN
2006,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",59.0,SIN,SIN
2006,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",276.0,SIN,SIN
2006,ontario,total residential fires,"fire incidents, residential properties",8168.0,SIN,SIN
2006,ontario,total residential fires,"fire-related deaths, residential properties",74.0,SIN,SIN
2006,ontario,total residential fires,"fire-related injuries, residential properties",556.0,SIN,SIN
2006,ontario,no smoke alarm,"fire incidents, residential properties",12.0,SIN,SIN
2006,ontario,no smoke alarm,"fire-related deaths, residential properties",12.0,SIN,SIN
2006,ontario,no smoke alarm,"fire-related injuries, residential properties",2.0,SIN,SIN
2006,ontario,alarm activated,"fire incidents, residential properties",2383.0,SIN,SIN
2006,ontario,alarm activated,"fire-related deaths, residential properties",22.0,SIN,SIN
2006,ontario,alarm activated,"fire-related injuries, residential properties",281.0,SIN,SIN
2006,ontario,alarm did not activate,"fire incidents, residential properties",891.0,SIN,SIN
2006,ontario,alarm did not activate,"fire-related deaths, residential properties",11.0,SIN,SIN
2006,ontario,alarm did not activate,"fire-related injuries, residential properties",105.0,SIN,SIN
2006,ontario,unknown performance of smoke alarm device,"fire incidents, residential properties",4882.0,SIN,SIN
2006,ontario,unknown performance of smoke alarm device,"fire-related deaths, residential properties",29.0,SIN,SIN
2006,ontario,unknown performance of smoke alarm device,"fire-related injuries, residential properties",168.0,SIN,SIN
2006,manitoba,total residential fires,"fire incidents, residential properties",1223.0,SIN,SIN
2006,manitoba,total residential fires,"fire-related deaths, residential properties",14.0,SIN,SIN
2006,manitoba,total residential fires,"fire-related injuries, residential properties",7.0,SIN,SIN
2006,manitoba,no smoke alarm,"fire incidents, residential properties",160.0,SIN,SIN
2006,manitoba,no smoke alarm,"fire-related deaths, residential properties",4.0,SIN,SIN
2006,manitoba,no smoke alarm,"fire-related injuries, residential properties",2.0,SIN,SIN
2006,manitoba,alarm activated,"fire incidents, residential properties",368.0,SIN,SIN
2006,manitoba,alarm activated,"fire-related deaths, residential properties",0.0,SIN,SIN
2006,manitoba,alarm activated,"fire-related injuries, residential properties",0.0,SIN,SIN
2006,manitoba,alarm did not activate,"fire incidents, residential properties",263.0,SIN,SIN
2006,manitoba,alarm did not activate,"fire-related deaths, residential properties",4.0,SIN,SIN
2006,manitoba,alarm did not activate,"fire-related injuries, residential properties",5.0,SIN,SIN
2006,manitoba,unknown performance of smoke alarm device,"fire incidents, residential properties",432.0,SIN,SIN
2006,manitoba,unknown performance of smoke alarm device,"fire-related deaths, residential properties",6.0,SIN,SIN
2006,manitoba,unknown performance of smoke alarm device,"fire-related injuries, residential properties",0.0,SIN,SIN
2006,saskatchewan,total residential fires,"fire incidents, residential properties",SIN,SIN,SIN
2006,saskatchewan,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,saskatchewan,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,saskatchewan,no smoke alarm,"fire incidents, residential properties",SIN,SIN,SIN
2006,saskatchewan,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,saskatchewan,no smoke alarm,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,saskatchewan,alarm activated,"fire incidents, residential properties",SIN,SIN,SIN
2006,saskatchewan,alarm activated,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,saskatchewan,alarm activated,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,saskatchewan,alarm did not activate,"fire incidents, residential properties",SIN,SIN,SIN
2006,saskatchewan,alarm did not activate,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,saskatchewan,alarm did not activate,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,saskatchewan,unknown performance of smoke alarm device,"fire incidents, residential properties",SIN,SIN,SIN
2006,saskatchewan,unknown performance of smoke alarm device,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,saskatchewan,unknown performance of smoke alarm device,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,alberta,total residential fires,"fire incidents, residential properties",1535.0,SIN,SIN
2006,alberta,total residential fires,"fire-related deaths, residential properties",26.0,SIN,SIN
2006,alberta,total residential fires,"fire-related injuries, residential properties",128.0,SIN,SIN
2006,alberta,no smoke alarm,"fire incidents, residential properties",639.0,SIN,SIN
2006,alberta,no smoke alarm,"fire-related deaths, residential properties",11.0,SIN,SIN
2006,alberta,no smoke alarm,"fire-related injuries, residential properties",40.0,SIN,SIN
2006,alberta,alarm activated,"fire incidents, residential properties",343.0,SIN,SIN
2006,alberta,alarm activated,"fire-related deaths, residential properties",4.0,SIN,SIN
2006,alberta,alarm activated,"fire-related injuries, residential properties",43.0,SIN,SIN
2006,alberta,alarm did not activate,"fire incidents, residential properties",287.0,SIN,SIN
2006,alberta,alarm did not activate,"fire-related deaths, residential properties",1.0,SIN,SIN
2006,alberta,alarm did not activate,"fire-related injuries, residential properties",21.0,SIN,SIN
2006,alberta,unknown performance of smoke alarm device,"fire incidents, residential properties",266.0,SIN,SIN
2006,alberta,unknown performance of smoke alarm device,"fire-related deaths, residential properties",10.0,SIN,SIN
2006,alberta,unknown performance of smoke alarm device,"fire-related injuries, residential properties",24.0,SIN,SIN
2006,british columbia,total residential fires,"fire incidents, residential properties",2306.0,SIN,SIN
2006,british columbia,total residential fires,"fire-related deaths, residential properties",20.0,SIN,SIN
2006,british columbia,total residential fires,"fire-related injuries, residential properties",171.0,SIN,SIN
2006,british columbia,no smoke alarm,"fire incidents, residential properties",352.0,SIN,SIN
2006,british columbia,no smoke alarm,"fire-related deaths, residential properties",4.0,SIN,SIN
2006,british columbia,no smoke alarm,"fire-related injuries, residential properties",35.0,SIN,SIN
2006,british columbia,alarm activated,"fire incidents, residential properties",583.0,SIN,SIN
2006,british columbia,alarm activated,"fire-related deaths, residential properties",2.0,SIN,SIN
2006,british columbia,alarm activated,"fire-related injuries, residential properties",52.0,SIN,SIN
2006,british columbia,alarm did not activate,"fire incidents, residential properties",0.0,SIN,SIN
2006,british columbia,alarm did not activate,"fire-related deaths, residential properties",0.0,SIN,SIN
2006,british columbia,alarm did not activate,"fire-related injuries, residential properties",0.0,SIN,SIN
2006,british columbia,unknown performance of smoke alarm device,"fire incidents, residential properties",1371.0,SIN,SIN
2006,british columbia,unknown performance of smoke alarm device,"fire-related deaths, residential properties",14.0,SIN,SIN
2006,british columbia,unknown performance of smoke alarm device,"fire-related injuries, residential properties",84.0,SIN,SIN
2006,canada,total residential fires,"fire incidents, residential properties",23.0,SIN,SIN
2006,canada,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,canada,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,canada,no smoke alarm,"fire incidents, residential properties",0.0,SIN,SIN
2006,canada,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,canada,no smoke alarm,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,canada,alarm activated,"fire incidents, residential properties",0.0,SIN,SIN
2006,canada,alarm activated,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,canada,alarm activated,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,canada,alarm did not activate,"fire incidents, residential properties",0.0,SIN,SIN
2006,canada,alarm did not activate,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,canada,alarm did not activate,"fire-related injuries, residential properties",SIN,SIN,SIN
2006,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",23.0,SIN,SIN
2006,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",SIN,SIN,SIN
2006,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,canada,total residential fires,"fire incidents, residential properties",14134.0,SIN,SIN
2007,canada,total residential fires,"fire-related deaths, residential properties",157.0,SIN,SIN
2007,canada,total residential fires,"fire-related injuries, residential properties",900.0,SIN,SIN
2007,canada,no smoke alarm,"fire incidents, residential properties",1532.0,SIN,SIN
2007,canada,no smoke alarm,"fire-related deaths, residential properties",53.0,SIN,SIN
2007,canada,no smoke alarm,"fire-related injuries, residential properties",75.0,SIN,SIN
2007,canada,alarm activated,"fire incidents, residential properties",3913.0,SIN,SIN
2007,canada,alarm activated,"fire-related deaths, residential properties",33.0,SIN,SIN
2007,canada,alarm activated,"fire-related injuries, residential properties",403.0,SIN,SIN
2007,canada,alarm did not activate,"fire incidents, residential properties",1425.0,SIN,SIN
2007,canada,alarm did not activate,"fire-related deaths, residential properties",9.0,SIN,SIN
2007,canada,alarm did not activate,"fire-related injuries, residential properties",134.0,SIN,SIN
2007,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",7264.0,SIN,SIN
2007,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",62.0,SIN,SIN
2007,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",288.0,SIN,SIN
2007,ontario,total residential fires,"fire incidents, residential properties",8743.0,SIN,SIN
2007,ontario,total residential fires,"fire-related deaths, residential properties",88.0,SIN,SIN
2007,ontario,total residential fires,"fire-related injuries, residential properties",626.0,SIN,SIN
2007,ontario,no smoke alarm,"fire incidents, residential properties",16.0,SIN,SIN
2007,ontario,no smoke alarm,"fire-related deaths, residential properties",25.0,SIN,SIN
2007,ontario,no smoke alarm,"fire-related injuries, residential properties",8.0,SIN,SIN
2007,ontario,alarm activated,"fire incidents, residential properties",2581.0,SIN,SIN
2007,ontario,alarm activated,"fire-related deaths, residential properties",27.0,SIN,SIN
2007,ontario,alarm activated,"fire-related injuries, residential properties",309.0,SIN,SIN
2007,ontario,alarm did not activate,"fire incidents, residential properties",929.0,SIN,SIN
2007,ontario,alarm did not activate,"fire-related deaths, residential properties",6.0,SIN,SIN
2007,ontario,alarm did not activate,"fire-related injuries, residential properties",109.0,SIN,SIN
2007,ontario,unknown performance of smoke alarm device,"fire incidents, residential properties",5217.0,SIN,SIN
2007,ontario,unknown performance of smoke alarm device,"fire-related deaths, residential properties",30.0,SIN,SIN
2007,ontario,unknown performance of smoke alarm device,"fire-related injuries, residential properties",200.0,SIN,SIN
2007,manitoba,total residential fires,"fire incidents, residential properties",1166.0,SIN,SIN
2007,manitoba,total residential fires,"fire-related deaths, residential properties",17.0,SIN,SIN
2007,manitoba,total residential fires,"fire-related injuries, residential properties",10.0,SIN,SIN
2007,manitoba,no smoke alarm,"fire incidents, residential properties",158.0,SIN,SIN
2007,manitoba,no smoke alarm,"fire-related deaths, residential properties",8.0,SIN,SIN
2007,manitoba,no smoke alarm,"fire-related injuries, residential properties",1.0,SIN,SIN
2007,manitoba,alarm activated,"fire incidents, residential properties",382.0,SIN,SIN
2007,manitoba,alarm activated,"fire-related deaths, residential properties",1.0,SIN,SIN
2007,manitoba,alarm activated,"fire-related injuries, residential properties",0.0,SIN,SIN
2007,manitoba,alarm did not activate,"fire incidents, residential properties",246.0,SIN,SIN
2007,manitoba,alarm did not activate,"fire-related deaths, residential properties",2.0,SIN,SIN
2007,manitoba,alarm did not activate,"fire-related injuries, residential properties",3.0,SIN,SIN
2007,manitoba,unknown performance of smoke alarm device,"fire incidents, residential properties",380.0,SIN,SIN
2007,manitoba,unknown performance of smoke alarm device,"fire-related deaths, residential properties",6.0,SIN,SIN
2007,manitoba,unknown performance of smoke alarm device,"fire-related injuries, residential properties",6.0,SIN,SIN
2007,saskatchewan,total residential fires,"fire incidents, residential properties",SIN,SIN,SIN
2007,saskatchewan,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,saskatchewan,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,saskatchewan,no smoke alarm,"fire incidents, residential properties",SIN,SIN,SIN
2007,saskatchewan,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,saskatchewan,no smoke alarm,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,saskatchewan,alarm activated,"fire incidents, residential properties",SIN,SIN,SIN
2007,saskatchewan,alarm activated,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,saskatchewan,alarm activated,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,saskatchewan,alarm did not activate,"fire incidents, residential properties",SIN,SIN,SIN
2007,saskatchewan,alarm did not activate,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,saskatchewan,alarm did not activate,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,saskatchewan,unknown performance of smoke alarm device,"fire incidents, residential properties",SIN,SIN,SIN
2007,saskatchewan,unknown performance of smoke alarm device,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,saskatchewan,unknown performance of smoke alarm device,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,alberta,total residential fires,"fire incidents, residential properties",1824.0,SIN,SIN
2007,alberta,total residential fires,"fire-related deaths, residential properties",17.0,SIN,SIN
2007,alberta,total residential fires,"fire-related injuries, residential properties",138.0,SIN,SIN
2007,alberta,no smoke alarm,"fire incidents, residential properties",1008.0,SIN,SIN
2007,alberta,no smoke alarm,"fire-related deaths, residential properties",10.0,SIN,SIN
2007,alberta,no smoke alarm,"fire-related injuries, residential properties",44.0,SIN,SIN
2007,alberta,alarm activated,"fire incidents, residential properties",300.0,SIN,SIN
2007,alberta,alarm activated,"fire-related deaths, residential properties",1.0,SIN,SIN
2007,alberta,alarm activated,"fire-related injuries, residential properties",53.0,SIN,SIN
2007,alberta,alarm did not activate,"fire incidents, residential properties",250.0,SIN,SIN
2007,alberta,alarm did not activate,"fire-related deaths, residential properties",1.0,SIN,SIN
2007,alberta,alarm did not activate,"fire-related injuries, residential properties",22.0,SIN,SIN
2007,alberta,unknown performance of smoke alarm device,"fire incidents, residential properties",266.0,SIN,SIN
2007,alberta,unknown performance of smoke alarm device,"fire-related deaths, residential properties",5.0,SIN,SIN
2007,alberta,unknown performance of smoke alarm device,"fire-related injuries, residential properties",19.0,SIN,SIN
2007,british columbia,total residential fires,"fire incidents, residential properties",2371.0,SIN,SIN
2007,british columbia,total residential fires,"fire-related deaths, residential properties",35.0,SIN,SIN
2007,british columbia,total residential fires,"fire-related injuries, residential properties",126.0,SIN,SIN
2007,british columbia,no smoke alarm,"fire incidents, residential properties",350.0,SIN,SIN
2007,british columbia,no smoke alarm,"fire-related deaths, residential properties",10.0,SIN,SIN
2007,british columbia,no smoke alarm,"fire-related injuries, residential properties",22.0,SIN,SIN
2007,british columbia,alarm activated,"fire incidents, residential properties",650.0,SIN,SIN
2007,british columbia,alarm activated,"fire-related deaths, residential properties",4.0,SIN,SIN
2007,british columbia,alarm activated,"fire-related injuries, residential properties",41.0,SIN,SIN
2007,british columbia,alarm did not activate,"fire incidents, residential properties",0.0,SIN,SIN
2007,british columbia,alarm did not activate,"fire-related deaths, residential properties",0.0,SIN,SIN
2007,british columbia,alarm did not activate,"fire-related injuries, residential properties",0.0,SIN,SIN
2007,british columbia,unknown performance of smoke alarm device,"fire incidents, residential properties",1371.0,SIN,SIN
2007,british columbia,unknown performance of smoke alarm device,"fire-related deaths, residential properties",21.0,SIN,SIN
2007,british columbia,unknown performance of smoke alarm device,"fire-related injuries, residential properties",63.0,SIN,SIN
2007,canada,total residential fires,"fire incidents, residential properties",30.0,SIN,SIN
2007,canada,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,canada,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,canada,no smoke alarm,"fire incidents, residential properties",0.0,SIN,SIN
2007,canada,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,canada,no smoke alarm,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,canada,alarm activated,"fire incidents, residential properties",0.0,SIN,SIN
2007,canada,alarm activated,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,canada,alarm activated,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,canada,alarm did not activate,"fire incidents, residential properties",0.0,SIN,SIN
2007,canada,alarm did not activate,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,canada,alarm did not activate,"fire-related injuries, residential properties",SIN,SIN,SIN
2007,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",30.0,SIN,SIN
2007,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",SIN,SIN,SIN
2007,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",SIN,SIN,SIN
2008,canada,total residential fires,"fire incidents, residential properties",13522.0,SIN,SIN
2008,canada,total residential fires,"fire-related deaths, residential properties",190.0,SIN,SIN
2008,canada,total residential fires,"fire-related injuries, residential properties",814.0,SIN,SIN
2008,canada,no smoke alarm,"fire incidents, residential properties",1509.0,SIN,SIN
2008,canada,no smoke alarm,"fire-related deaths, residential properties",49.0,SIN,SIN
2008,canada,no smoke alarm,"fire-related injuries, residential properties",58.0,SIN,SIN
2008,canada,alarm activated,"fire incidents, residential properties",3788.0,SIN,SIN
2008,canada,alarm activated,"fire-related deaths, residential properties",43.0,SIN,SIN
2008,canada,alarm activated,"fire-related injuries, residential properties",356.0,SIN,SIN
2008,canada,alarm did not activate,"fire incidents, residential properties",1284.0,SIN,SIN
2008,canada,alarm did not activate,"fire-related deaths, residential properties",19.0,SIN,SIN
2008,canada,alarm did not activate,"fire-related injuries, residential properties",120.0,SIN,SIN
2008,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",6941.0,SIN,SIN
2008,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",79.0,SIN,SIN
2008,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",280.0,SIN,SIN
2008,ontario,total residential fires,"fire incidents, residential properties",7906.0,SIN,SIN
2008,ontario,total residential fires,"fire-related deaths, residential properties",93.0,SIN,SIN
2008,ontario,total residential fires,"fire-related injuries, residential properties",500.0,SIN,SIN
2008,ontario,no smoke alarm,"fire incidents, residential properties",14.0,SIN,SIN
2008,ontario,no smoke alarm,"fire-related deaths, residential properties",24.0,SIN,SIN
2008,ontario,no smoke alarm,"fire-related injuries, residential properties",0.0,SIN,SIN
2008,ontario,alarm activated,"fire incidents, residential properties",2407.0,SIN,SIN
2008,ontario,alarm activated,"fire-related deaths, residential properties",23.0,SIN,SIN
